region,per_capita_cash_income_2020,real_incomes_2020,formal_wage_paid_2020,real_pay_2020,mortality_2020,newborn_2020,alc_2020,nar_2020,anomalies_2020,soc_ex_2020,child_need_under_16_2020,people_need_over_working_age_2020,people_need_working_age_2020,abort_2020,ret_turn_per_capita_2020_(rub),housting_2020,suicid_2020,HIV_2020,grp_2020,pop_2020,p_clinic_2020,hosp_2020,1_group_invalid_2020,2_group_invalid_2020,3_group_invalid_2020,child_invalid_2020,poverty_2020,unemployed_2020,death_cancer_2020,divorce_2020,death_cir_syst_2020,death_tub_2020,orphans_2020,syphilis_2020,gonor_2020,active_tub_2020,commit_minors_2020,recidivist_2020,crime_under_alcohol_2020,crime_under_narc_2020,reg_prod_2020
Еврейская автономная область,28048.0,99.2,46237.0,103.7,11.0,1626.0,126,35,304.0,31.2,34.8,10.8,54.4,1149.0,168066.0,24.28,21.0,24,400340.5,157402.0,46,16,1671,5470,5463,747,23.6,6.3,187.4,663.0,911.0,17.8,213,7,29,97,66,1044,509,5,55938814.6
Забайкальский край,27046.0,99.9,47172.0,102.9,64.0,12435.0,816,92,846.0,26.5,33.4,7.2,59.3,5840.99,164740.99,21.8,28.8,400,402594.6,1056592.0,103,50,10281,35670,31746,5172,20.9,9.8,195.2,4829.0,577.0,5.9,1290,125,94,444,733,8501,6297,107,479071355.6
Ивановская область,26277.0,97.2,29083.0,101.6,28.0,7525.0,742,61,6.0,25.1,39.01643835616437,5.045205479452054,55.945205479452056,2575.0,180314.0,27.87,15.6,591,273821.5,992082.0,133,49,10953,34640,31892,3555,13.7,5.4,206.1,3985.0,640.3,2.6,330,67,8,222,300,4158,2304,29,439572223.2
Иркутская область,27571.0,100.4,49885.0,103.5,167.0,26947.99,1504,308,357.0,28.6,41.5,7.0,51.5,15174.0,164879.0,25.82,14.5,1893,631591.89,2383107.0,365,87,25325,84474,98951,12784,17.6,7.7,224.9,10669.0,673.8,11.1,300,359,266,1454,1150,15125,8974,103,2435841066.0
Кабардино-Балкарская Республика,21957.0,98.7,29899.0,105.0,57.0,10530.99,257,84,0.0,34.4,35.9,6.7,57.4,1195.0,154476.0,21.29,4.59,178,210674.09,868771.0,165,34,7521,20899,28852,4701,24.2,14.8,128.9,2242.0,440.5,6.2,177,40,51,221,134,2541,614,67,100210460.16
Калининградская область,29518.0,99.2,36647.0,99.2,35.0,9254.0,580,53,133.0,12.6,29.1,6.1,64.8,4390.0,183285.99,31.45,14.8,366,530036.9,1015568.0,139,47,13251,26150,29113,3745,13.5,5.9,217.7,5039.99,628.1,1.9,340,145,0,211,295,4501,1999,36,1303663777.2599998
Калужская область,32442.0,99.2,43994.0,102.4,28.0,8968.0,386,62,104.0,16.9,39.01643835616437,5.045205479452054,55.945205479452056,2928.0,214672.0,31.59,13.9,249,558174.6,1001777.0,142,28,8458,27796,40510,3618,9.7,4.7,232.1,4355.0,704.1,2.4,318,227,19,232,409,4237,2181,30,1848178887.8
Камчатский край,55373.0,102.1,85623.0,103.8,14.0,3248.0,152,26,89.0,13.3,42.6,5.9,51.5,1749.0,202352.0,26.32,5.09,91,942801.99,312341.0,45,33,2221,5239,6035,1323,14.6,3.8,157.8,1482.0,609.6,5.8,312,3,25,135,160,1921,1103,17,357628518.3
Карачаево-Черкесская Республика,18949.0,97.3,29865.0,107.0,25.0,5135.0,54,13,0.0,26.5,27.6,6.9,65.5,1154.0,83515.0,21.83,6.4,55,207471.5,465443.0,56,21,6546,35907,8889,3795,23.2,14.7,102.9,1388.0,352.4,0.6,124,38,45,78,86,1812,703,40,81138737.0
Кемеровская область,25433.0,98.1,43429.0,100.6,129.0,22600.99,860,318,258.0,23.0,39.7,4.5,55.8,14182.0,153032.99,25.83,23.7,3325,392374.9,2645650.0,544,97,34436,83871,100131,13323,13.2,6.7,246.0,10642.0,802.5,9.9,1660,167,229,1927,1507,20250,10717,112,3031613466.82
Кировская область,24192.0,97.8,32692.0,104.1,40.0,10569.99,796,36,58.0,27.6,40.8,3.4,55.7,5727.0,163223.99,27.86,23.4,195,315153.89,1256287.0,240,69,15161,46353,59707,4471,14.0,5.4,240.89,4746.0,686.59,2.9,552,88,26,269,551,7523,4644,34,612241879.12
Костромская область,25780.0,97.3,32220.0,98.6,42.0,5376.0,324,32,492.99,22.5,39.9,6.6,53.5,2514.0,179586.99,29.08,16.5,210,323951.59,630903.0,146,42,6566,25694,26467,2285,12.5,5.5,238.2,2552.99,885.7,1.0,53,4,24,81,158,3162,1885,23,349143213.2
Краснодарский край,36838.0,100.4,38499.0,103.2,230.0,59496.0,470,145,915.0,25.7,39.3,6.9,53.8,14623.0,261857.0,28.17,6.9,1741,460720.19,5679704.0,370,150,55698,216958,157300,26866,10.4,5.7,187.5,25688.0,528.3,3.9,527,750,183,1488,936,18776,6290,119,2174703791.66
Красноярский край,32832.0,99.8,54426.0,105.5,153.0,28997.99,1407,396,677.0,24.8,35.8,4.8,59.4,18216.99,196887.99,25.94,12.2,2143,951613.7,2861077.0,534,125,25638,80178,75049,13204,17.0,6.0,235.5,12694.99,662.59,9.19,1271,230,273,1327,1006,17372,8649,128,5142342706.32
Курганская область,21860.0,97.8,33182.0,104.3,46.0,7432.0,474,112,165.0,26.1,39.4,2.4,58.2,4270.0,147332.0,26.57,29.3,468,294464.0,822867.0,119,45,7735,27133,37701,3781,19.3,8.2,257.9,3626.0,620.6,15.1,448,99,121,472,399,6529,3807,188,299284955.92
Курская область,29786.0,97.8,35805.0,105.3,42.0,9136.0,637,59,39.0,23.2,34.2,6.5,59.2,3810.0,207134.0,31.65,9.8,171,487030.69,1100248.0,149,54,11800,47081,60155,5736,9.9,4.9,243.2,4539.99,793.09,3.6,137,65,14,248,305,4919,2572,60,757670943.0
